主机（TOP100）	次数	
128.159.122.110	949	
proxy0.research.att.com	940	
proxy.austin.ibm.com	925	
www-c9.proxy.aol.com	902	
bbuig150.unisys.com	901	
corpgate.nt.com	899	
sahp315.sandia.gov	890	
amdext.amd.com	869	
128.159.132.56	848	
n1121796.ksc.nasa.gov	830	
igate.uswest.com	825	
gatekeeper.cca.rockwell.com	819	
wwwproxy.sanders.com	815	
gw4.att.com	814	
goose.sms.fi	812	
128.159.144.83	808	
jericho3.microsoft.com	805	
128.159.111.141	798	
jericho2.microsoft.com	786	
sdn_b6_f02_ip.dny.rockwell.com	782	
lamar.d48.lilly.com	778	
163.205.11.31	776	
heimdallp2.compaq.com	772	
stortek1.stortek.com	771	
163.205.16.75	762	
mac998.kip.apple.com	759	
tia1.eskimo.com	742	
www-e1f.gnn.com	733	
www-b1.proxy.aol.com	718	
reddragon.ksc.nasa.gov	715	
128.159.122.137	711	
rmcg.cts.com	701	
bambi.te.rl.ac.uk	701	
electron.mcc.com	697	
163.205.23.76	691	
		
主机ip（TOP100） 	次数	
163.206.89.4	4791	
128.217.62.1	1435	
163.205.1.19	1360	
163.205.3.104	1292	
163.205.156.16	1256	
163.205.19.20	1252	
128.217.62.2	1054	
163.206.137.21	1015	
128.159.122.110	949	
128.159.132.56	848	
128.159.144.83	808	
128.159.111.141	798	
163.205.11.31	776	
163.205.16.75	762	
128.159.122.137	711	
163.205.23.76	691	
206.27.25.1	672	
198.83.19.44	647	
199.1.50.225	641	
163.205.23.93	624	
139.169.174.102	610	
163.205.121.3	600	
140.229.116.37	598	
141.102.82.127	591	
163.206.140.4	586	
163.206.104.34	573	
204.62.245.32	567	
128.159.122.38	565	
128.217.62.224	563	
128.159.122.107	563	
128.159.122.180	553	
128.159.123.58	549	
163.205.154.11	544	
192.112.22.119	532	
163.205.16.100	518	
199.201.186.103	503	
128.159.146.40	503	
128.159.122.160	494	
192.77.40.4	486	
193.143.192.106	482	
152.163.192.5	480	
163.205.23.71	478	
139.169.30.50	475	
128.159.122.144	469	
163.234.140.22	466	
163.205.150.22	463	
128.217.61.184	457	
163.205.23.72	451	
198.83.19.40	448	
128.159.122.14	446	
199.201.186.104	443	
198.83.19.47	443	
128.217.61.15	443	
128.159.121.34	441	
128.159.121.41	438	
160.205.119.27	435	
163.205.154.17	432	
152.163.192.38	432	
128.159.122.15	432	
128.159.135.73	423	
128.159.135.38	423	
152.163.192.35	421	
128.159.76.128	415	
152.163.192.71	413	
128.159.63.159	412	
163.205.12.100	409	
133.53.64.33	404	
152.163.192.70	402	
128.159.121.64	397	
129.239.68.160	396	
152.163.192.36	391	
163.205.16.90	389	
128.32.196.94	389	
163.205.1.18	385	
163.206.136.1	384	
147.147.191.43	383	
163.205.16.104	374	
152.163.192.69	374	
193.178.53.180	373	
128.217.63.27	371	
130.110.74.81	367	
204.69.0.27	366	
163.206.130.46	365	
152.163.192.67	359	
163.205.54.76	357	
152.163.192.7	356	
198.83.19.43	354	
128.159.137.43	350	
147.74.110.61	348	
163.205.23.44	345	
128.159.168.162	343	
158.27.59.88	336	
152.163.192.3	336	
163.205.166.15	335	
128.159.145.21	335	
163.205.2.180	332	
128.217.61.98	329	
152.163.192.66	328	
163.205.3.38	324	
163.205.2.35	324	
		
最频繁被访问的URL（TOP100）	访问次数	
/images/NASA-logosmall.gif	97410	
/images/KSC-logosmall.gif	75337	
/images/MOSAIC-logosmall.gif	67448	
/images/USA-logosmall.gif	67068	
/images/WORLD-logosmall.gif	66444	
/images/ksclogo-medium.gif	62778	
/ksc.html	43687	
/history/apollo/images/apollo-logo1.gif	37826	
/images/launch-logo.gif	35138	
/	30346	
/images/ksclogosmall.gif	27810	
/shuttle/missions/sts-69/mission-sts-69.html	24606	
/shuttle/countdown/	24461	
/shuttle/missions/sts-69/count69.gif	24383	
/shuttle/missions/sts-69/sts-69-patch-small.gif	23405	
/shuttle/missions/missions.html	22453	
/images/launchmedium.gif	19877	
/htbin/cdt_main.pl	17247	
/shuttle/countdown/images/countclock.gif	12160	
/icons/menu.xbm	12137	
/icons/blank.xbm	12057	
/software/winvn/winvn.html	10345	
/icons/image.xbm	10308	
/history/history.html	10134	
/history/apollo/images/footprint-logo.gif	10126	
/history/apollo/images/apollo-small.gif	9439	
/history/apollo/images/footprint-small.gif	9230	
/software/winvn/winvn.gif	9037	
/history/apollo/apollo.html	8985	
/software/winvn/wvsmall.gif	8662	
/software/winvn/bluemarb.gif	8610	
/htbin/cdt_clock.pl	8583	
/shuttle/countdown/liftoff.html	7865	
/shuttle/resources/orbiters/orbiters-logo.gif	7389	
/images/shuttle-patch-logo.gif	7261	
/history/apollo/apollo-13/apollo-13.html	7177	
/images/	7040	
/shuttle/countdown/video/livevideo2.gif	7029	
/images/kscmap-tiny.gif	6615	
/shuttle/technology/sts-newsref/stsref-toc.html	6517	
/history/apollo/apollo-13/apollo-13-patch-small.gif	6309	
/shuttle/missions/sts-71/sts-71-patch-small.gif	5613	
/shuttle/missions/sts-69/images/images.html	5264	
/icons/text.xbm	5248	
/images/construct.gif	5093	
/images/shuttle-patch-small.gif	4869	
/shuttle/missions/sts-69/movies/movies.html	4846	
/shuttle/missions/sts-70/sts-70-patch-small.gif	4791	
/icons/unknown.xbm	4785	
/shuttle/missions/sts-69/liftoff.html	4559	
/facilities/lc39a.html	4464	
/shuttle/resources/orbiters/endeavour.html	4434	
/history/apollo/images/apollo-logo.gif	4365	
/shuttle/missions/sts-70/mission-sts-70.html	4066	
/images/lc39a-logo.gif	4024	
/shuttle/resources/orbiters/endeavour-logo.gif	3817	
/shuttle/technology/sts-newsref/sts_asm.html	3706	
/shuttle/countdown/countdown.html	3518	
/shuttle/missions/sts-71/movies/movies.html	3507	
/shuttle/countdown/video/livevideo.jpeg	3377	
/history/apollo/apollo-11/apollo-11.html	3140	
/shuttle/missions/sts-71/mission-sts-71.html	3130	
/shuttle/missions/sts-70/images/images.html	3087	
/shuttle/missions/sts-71/images/images.html	2945	
/shuttle/missions/sts-73/mission-sts-73.html	2939	
/images/faq.gif	2865	
/shuttle/technology/images/srb_mod_compare_1-small.gif	2864	
/shuttle/technology/images/srb_mod_compare_3-small.gif	2818	
/shuttle/technology/images/srb_mod_compare_6-small.gif	2715	
/history/apollo/apollo-11/apollo-11-patch-small.gif	2701	
/elv/elvpage.htm	2586	
/shuttle/missions/sts-73/sts-73-patch-small.gif	2544	
/shuttle/countdown/video/sts-69-prelaunch-pad.gif	2385	
/shuttle/missions/51-l/mission-51-l.html	2343	
/images/launch-small.gif	2293	
/facilities/tour.html	2256	
/shuttle/missions/51-l/51-l-patch-small.gif	2201	
/images/kscmap-small.gif	2172	
/shuttle/resources/orbiters/challenger.html	2171	
/shuttle/missions/sts-71/movies/sts-71-launch.mpg	2159	
/shuttle/technology/sts-newsref/sts-lcc.html	2146	
/htbin/wais.pl	2133	
/facts/about_ksc.html	2120	
/history/mercury/mercury.html	2107	
/images/mercury-logo.gif	2040	
/elv/elvhead3.gif	1991	
/images/launchpalms-small.gif	1979	
/images/whatsnew.gif	1936	
/history/apollo/apollo-spacecraft.txt	1929	
/facilities/vab.html	1915	
/shuttle/resources/orbiters/columbia.html	1912	
/shuttle/countdown/lps/fr.html	1908	
/shuttle/resources/orbiters/challenger-logo.gif	1904	
/images/ksclogo.gif	1892	
/whats-new.html	1891	
/elv/endball.gif	1874	
/history/apollo/apollo-13/apollo-13-info.html	1869	
/shuttle/missions/sts-74/mission-sts-74.html	1868	
/elv/PEGASUS/minpeg1.gif	1845	
/elv/SCOUT/scout.gif	1835	
		
响应码（TOP10）   	次数   	百分比
200	1398987	89.11%
302	26497	1.69%
304	134146	8.54%
403	171	0.01%
404	10055	0.64%
500	3	0.00%
501	27	0.00%
		
403状态码对应的top10 url		
url	出现次数	
/software/winvn/winvn.html/wvsmall.gif	32	
/software/winvn/winvn.html/winvn.gif	32	
/software/winvn/winvn.html/bluemarb.gif	32	
/ksc.html/images/ksclogo-medium.gif	12	
/ksc.html/images/WORLD-logosmall.gif	10	
/ksc.html/images/USA-logosmall.gif	10	
/ksc.html/images/NASA-logosmall.gif	10	
/ksc.html/images/MOSAIC-logosmall.gif	10	
/ksc.html/facts/about_ksc.html	5	
/ksc.html/shuttle/missions/missions.html	4	
		
404状态码对应的top10 url		
url	出现次数	
/pub/winvn/readme.txt	1337	
/pub/winvn/release.txt	1185	
/shuttle/missions/STS-69/mission-STS-69.html	683	
/images/nasa-logo.gif	319	
/shuttle/missions/sts-68/ksc-upclose.gif	253	
/elv/DELTA/uncons.htm	209	
/history/apollo/sa-1/sa-1-patch-small.gif	200	
/://spacelink.msfc.nasa.gov	166	
/images/crawlerway-logo.gif	160	
/history/apollo/a-001/a-001-patch-small.gif	154	
		
		
指定URL：/ksc.html		
访问来源主机	访问次数	
edams.ksc.nasa.gov	1020	
163.206.89.4	251	
128.217.62.1	239	
n1144637.ksc.nasa.gov	219	
128.217.62.2	184	
163.205.3.104	182	
n1121796.ksc.nasa.gov	136	
163.205.23.76	127	
163.205.11.31	123	
n1376232.ksc.nasa.gov	116	
128.159.144.83	116	
n1131455.ksc.nasa.gov	108	
n1040681.ksc.nasa.gov	107	
163.205.16.75	105	
n1123413.ksc.nasa.gov	104	
163.205.23.93	104	
n1123543.ksc.nasa.gov	101	
163.205.154.11	101	
163.205.121.3	100	
n1378686.ksc.nasa.gov	96	
128.159.132.56	94	
n1031701.ksc.nasa.gov	91	
n1144796.ksc.nasa.gov	90	
163.206.104.34	90	
derec	89	
163.205.16.100	89	
n1142702.ksc.nasa.gov	87	
n1031729.ksc.nasa.gov	85	
163.205.23.72	81	
n1121793.ksc.nasa.gov	80	
www-c5.proxy.aol.com	79	
n167331.ksc.nasa.gov	79	
n1123724.ksc.nasa.gov	79	
n1123209.ksc.nasa.gov	78	
www-b3.proxy.aol.com	77	
128.217.61.15	77	
piweba3y.prodigy.com	76	
128.159.123.58	76	
n1031727.ksc.nasa.gov	75	
www-d1.proxy.aol.com	72	
n1032026.ksc.nasa.gov	72	
piweba5y.prodigy.com	71	
n1144636.ksc.nasa.gov	71	
n1028722.ksc.nasa.gov	71	
163.205.12.100	71	
piweba4y.prodigy.com	70	
n1031857.ksc.nasa.gov	70	
n1031627.ksc.nasa.gov	70	
128.159.135.73	70	
www-b2.proxy.aol.com	69	
n1028288.ksc.nasa.gov	69	
128.159.177.162	69	
www-c4.proxy.aol.com	68	
www-d3.proxy.aol.com	67	
n1032336.ksc.nasa.gov	67	
128.159.146.40	67	
128.159.122.14	67	
128.159.135.38	66	
www-d4.proxy.aol.com	65	
www-d2.proxy.aol.com	65	
pl01265.ksc.nasa.gov	65	
n167440.ksc.nasa.gov	65	
128.159.63.159	65	
www-c1.proxy.aol.com	64	
163.205.23.44	64	
163.205.16.90	64	
www-c3.proxy.aol.com	63	
www-c8.proxy.aol.com	62	
www-a1.proxy.aol.com	61	
n1123732.ksc.nasa.gov	60	
128.159.121.41	60	
www-b4.proxy.aol.com	59	
n1377014.ksc.nasa.gov	58	
163.205.2.180	58	
www-c2.proxy.aol.com	57	
n1135966.ksc.nasa.gov	57	
163.205.58.29	57	
n1028244.ksc.nasa.gov	56	
163.205.150.22	56	
n1121869.ksc.nasa.gov	55	
n1000831x.ksc.nasa.gov	55	
www-a2.proxy.aol.com	54	
n1377004.ksc.nasa.gov	54	
n1121985.ksc.nasa.gov	54	
163.205.3.38	54	
163.205.2.35	54	
mpngate1.ny.us.ibm.net	53	
ka144063.ksc.nasa.gov	53	
163.206.130.46	53	
163.205.166.15	53	
luncefordm.ksc.nasa.gov	52	
128.159.145.21	52	
www-b5.proxy.aol.com	51	
163.205.16.98	51	
128.217.63.27	51	
piweba1y.prodigy.com	50	
n164576.ksc.nasa.gov	50	
192.112.239.200	50	
163.206.130.48	50	
poppy.hensa.ac.uk	49	
